Municipio,Nombre,2022,2023,2024,2025,2026
Bolanos,Servicios Gomez S.C.,7132699.92,2292667.76,10834493.84,,13521610.61
Tuxcacuesco,Empresa Sandoval,12658704.31,11680908.32,5086348.6,675886.94,9203754.15
Jocotepec,Servicios Valdez,,2460779.25,13728180.04,8510975.13,14089433.62
San Juanito de Escobedo,Industrias Hernandez,5760350.23,,5258118.44,5153939.56,8678853.82
San Diego de Alejandria,Inversiones Vargas S.R.L. de C.V.,6312474.92,6656037.93,7097664.06,12777490.57,2626557.02
Jilotlan de los Dolores,Distribuidora Delgado S.R.L. de C.V.,5916701.47,8253380.18,4250768.6,4150802.26,1137315.09
San Martin de Bolanos,Distribuidora Delgado S.R.L. de C.V.,6659279.83,738683.86,,5644824.56,4723298.46
Degollado,Grupo Nunez S.R.L. de C.V.,,6288442.42,9428784.98,,8871487.85
Teocuitatlan de Corona,Industrias Reyes S. de R.L.,11588306.35,3753935.75,12031391.02,,6680714.33
Jocotepec,Servicios Pena S.R.L. de C.V.,1436457.02,,4006959.25,13572614.33,11184149.7
Villa Purificacion,Servicios Quintero,9145779.08,6993589.05,10941994.38,8284348.16,12336233.96
Tamazula de Gordiano,Distribuidora Mendoza S.R.L. de C.V.,7764024.01,,5678458.33,14795872.27,13807175.91
Cabo Corrientes,Constructora Lopez S. de R.L.,3836456.3,1791851.68,,6116104.63,6609232.75
Sayula,Comercializadora Medina S.R.L. de C.V.,12174541.07,7566689.56,,,12342902.9
Tecolotlan,Corporativo Montes S.R.L. de C.V.,3640509.25,3657685.93,12589631.7,6715498.29,7848521.85
Etzatlan,Empresa Nunez S.A.,553399.6,1056312.2,7038713.18,12806742.79,14949124.88
Zacoalco de Torres,Inversiones Castillo S.A. de C.V.,13541565.63,13873773.25,,4810753.31,6714472.93
Acatic,Distribuidora Montes,,14143699.56,11506413.83,,12429862.68
Tecalitlan,Inversiones Flores S. de R.L.,,,9201023.57,6882542.85,14586810.41
Tepic,Comercializadora Vargas S.A.,6005716.91,12433286.0,7434463.92,8696211.64,7944405.68
Guadalajara,Soluciones Jimenez,2181127.24,12388439.81,679860.62,10157326.75,545402.37
Zapopan,Comercializadora Lara S.R.L. de C.V.,6857038.8,1379628.22,3192249.55,6544614.22,
Yahualica de Gonzalez Gallo,Comercializadora Nunez S.A. de C.V.,856278.76,3406329.14,4117811.68,4873332.85,6022996.75
San Diego de Alejandria,Empresa Aguilar,9552932.05,14346266.6,,,8835365.44
Hostotipaquillo,Distribuidora Reyes S. de R.L.,,14851506.75,11390033.34,6930579.11,6845606.1
Tapalpa,Inversiones Ybarra S.C.,,4865970.15,13392861.66,2650766.45,9398826.05
Tonala,Empresa Jimenez S.A.,12915121.42,,5300435.64,2891710.61,13556612.28
Tlajomulco de Zuniga,Servicios Flores S. de R.L.,8087125.26,9216902.44,13071710.04,426028.18,
Ocotlan,Constructora Gutierrez S. de R.L.,3490001.91,,7649040.87,6682430.49,2580148.6
Yahualica de Gonzalez Gallo,Soluciones Vargas,11977877.78,,9493350.75,,2072405.43
Mascota,Soluciones Jimenez S.R.L. de C.V.,14492910.88,9226315.12,12430193.88,8034530.73,
Tepatitlan de Morelos,Servicios Castillo,2373312.77,12653312.56,,12692450.35,291794.64
Jesus Maria,Soluciones Zepeda S.A. de C.V.,13108581.63,4724213.64,4396783.78,4251802.73,840671.61
Tuxcacuesco,Inversiones Rios S.C.,4153032.44,3654684.26,10592231.24,2872186.82,13571190.63
Ixtlahuacan de los Membrillos,Corporativo Lara S. de R.L.,1919825.41,9842325.82,7114079.25,10570532.62,11813028.54
Toliman,Industrias Nunez,4561547.95,8238016.41,13864616.58,,5137637.97
Ixtlahuacan del Rio,Distribuidora Tapia S.R.L. de C.V.,2759170.04,1206815.22,1780175.05,14292111.29,
Tlaquepaque,Distribuidora Rios S.A. de C.V.,6138333.28,8292299.52,8917842.53,14940744.35,5342102.09
Tonaya,Servicios Lara S.R.L. de C.V.,,1982749.76,2600555.26,7317860.04,10721823.84
Unión de San Antonio,Comercializadora Hernandez S.R.L. de C.V.,339645.02,11756449.69,,2917233.52,
Acatic,Corporativo Aguilar S.C.,4399813.63,,13880973.91,8256802.68,3594465.84
Ayutla,Servicios Aguilar S.A. de C.V.,7195594.05,,10569987.22,5299018.85,13324932.68
Yahualica de Gonzalez Gallo,Distribuidora Diaz,316866.86,4889946.13,1017654.63,14478779.79,
Tepatitlan de Morelos,Inversiones Vega S.A. de C.V.,14675060.91,13034768.08,,11426968.57,5815440.84
Cabo Corrientes,Grupo Ybarra S. de R.L.,12388961.52,1468665.31,4825791.16,9890584.37,1427900.57
Magdalena,Corporativo Gomez S.R.L. de C.V.,1617209.66,,5713348.22,13851611.96,13866886.59
Ixtlahuacan del Rio,Servicios Pena S.A.,96284.57,,10514053.68,2638589.81,4282707.52
Tamazula de Gordiano,Inversiones Ochoa S.R.L. de C.V.,6122057.64,13474536.8,9041308.14,379462.17,
Tototlan,Grupo Sandoval,9831330.48,466237.62,2811760.88,9124177.9,5057904.13
Casimiro Castillo,Corporativo Hernandez S.A.,3851146.82,10029405.54,6492949.08,3011236.19,8526228.92
Huejucar,Constructora Mendoza S. de R.L.,13643809.69,8868162.49,574554.24,2208460.53,1225958.58
Mezquitic,Empresa Morales S.A.,4716167.87,5307434.22,6411691.59,8179564.82,7241612.91
Jocotepec,Industrias Jimenez,4805363.64,11946874.02,1318975.23,574276.42,1761344.04
Puerto Vallarta,Servicios Sandoval,,880142.23,1485479.85,3079571.75,8239108.95
Tuxcacuesco,Grupo Flores S. de R.L.,12289198.65,,,8355065.41,12705639.79
Cihuatlan,Corporativo Uribe,1366639.79,9110456.66,1171076.68,11523755.8,434379.98
Tala,Distribuidora Martinez S.R.L. de C.V.,1901189.84,4123615.36,7378550.11,14836941.08,12177625.46
La Huerta,Inversiones Gutierrez S. de R.L.,4079166.54,2301710.82,6749322.76,3017805.43,223236.43
Teocuitatlan de Corona,Comercializadora Flores S.C.,10548246.55,12426749.55,13202798.43,6810923.72,13672849.31
Tapalpa,Soluciones Lara,,6501771.13,4492290.39,10569770.59,
Ayotlan,Inversiones Gomez S.R.L. de C.V.,9670929.35,5281378.08,6084389.64,6112887.42,3835419.67
Mazamitla,Empresa Ramirez S. de R.L.,5601305.91,5995546.89,7151963.72,6101772.3,11913969.23
Juanacatlan,Empresa Cervantes S.A.,14210030.59,4668110.71,1817320.94,8486736.29,1100425.13
San Miguel el Alto,Empresa Diaz S.A. de C.V.,7305811.68,11598046.4,11666357.48,3587809.52,3049720.76
El Arenal,Industrias Ibarra S. de R.L.,5024707.91,,8905780.75,8870931.06,758061.95
Tala,Comercializadora Nunez S.A.,11133189.46,1385088.91,,9559199.75,6265258.83
Cabo Corrientes,Inversiones Sandoval,4681497.2,10604137.13,6967807.31,12847457.55,9641019.16
Canadas de Obregon,Empresa Ortega S.R.L. de C.V.,,8909328.95,12828946.61,5871335.99,3475724.37
Ciudad Guzman,Inversiones Lopez S.R.L. de C.V.,13765914.51,12741803.25,4981230.2,,1656483.5
Zapotlan de Juarez,Servicios Nunez S.R.L. de C.V.,4017332.67,,1144010.16,3393055.96,5626051.05
Villa Guerrero,Grupo Reyes S.R.L. de C.V.,14187089.77,13467789.2,9903331.47,10527318.1,2621282.04
Mezquitic,Industrias Flores S.A.,,465720.24,3972639.94,2705778.28,4230331.15
Teocuitatlan de Corona,Soluciones Ybarra S.R.L. de C.V.,14264365.8,7379004.52,2629027.34,3864623.85,3709546.83
Tuxcacuesco,Soluciones Tapia S.R.L. de C.V.,,7187245.15,1131949.79,8965428.77,9361818.93
Canadas de Obregon,Constructora Aguilar S.A. de C.V.,5738325.42,5592012.81,,7784974.22,
Zacoalco de Torres,Inversiones Uribe S.A.,8045221.85,4203032.29,,12114763.82,3877041.01
Etzatlan,Industrias Cruz S. de R.L.,6395692.65,2748994.76,13216307.75,7906802.46,9949204.82
San Martin Hidalgo,Corporativo Rivera S. de R.L.,1994097.45,14200880.19,10069018.13,,12435569.94
Magdalena,Comercializadora Ibarra S.R.L. de C.V.,492813.28,14283343.44,14492297.53,,10230251.8
Santa Maria de los Angeles,Industrias Tapia S.A.,7684566.71,7373730.84,14373134.94,14160015.7,5718414.13
Cihuatlan,Constructora Delgado S.A.,12382320.42,3636369.49,14652079.8,7598567.97,
Ameca,Grupo Gomez S.A.,11703570.1,9809723.12,5036868.17,1132776.83,13245742.2
Ameca,Inversiones Morales,6618110.0,7504036.0,14112209.92,11928455.36,9506191.72
Jocotepec,Soluciones Hernandez S.C.,9237492.1,9890775.85,9549954.86,3153479.01,2215512.08
Zapotlan de Juarez,Servicios Valdez,4160481.89,4720502.51,6498345.22,,10282672.54
Cabo Corrientes,Empresa Quintero S.R.L. de C.V.,2098059.64,1264972.06,11338315.84,,12668218.61
El Arenal,Soluciones Rios S.C.,9789449.63,6531878.08,9328804.18,8839732.62,3389755.69
Ixtlahuacan del Rio,Servicios Perez S. de R.L.,10893496.93,13906911.31,807629.03,10776621.98,2032495.31
Casimiro Castillo,Constructora Diaz,11333542.2,14594439.28,,9366741.17,1167035.76
Ayutla,Servicios Gomez S.A.,2241069.02,8366376.05,3081912.61,8810912.63,9120520.3
Tequila,Corporativo Flores,2976303.97,1019595.98,13867953.13,13535868.06,14328977.43
Autlan de Navarro,Inversiones Soto S.A. de C.V.,8545984.72,14555485.1,1806216.7,8469838.0,11374914.55
Ojuelos de Jalisco,Distribuidora Medina S.C.,2168397.01,10593841.05,1219646.5,,14149730.42
Magdalena,Inversiones Mendoza S.C.,7649269.57,,7129367.1,9438844.77,371257.28
Juanacatlan,Distribuidora Rios S.A.,5659899.7,,2298975.0,3444965.92,6633250.89
Etzatlan,Empresa Sandoval S.C.,,3638887.1,7376910.15,5831662.83,7929738.02
Tonaya,Industrias Medina,3315911.0,,,9760290.85,10925603.25
Tizapan el Alto,Grupo Flores S.C.,7462689.87,1786237.28,13615851.66,583362.3,4037576.98
Zapotiltic,Constructora Ybarra S. de R.L.,10798152.81,5287924.06,8155384.85,11314820.57,4067413.75
San Diego de Alejandria,Servicios Ramos S. de R.L.,8168475.55,4457129.66,7605432.33,3632202.36,4832815.15
Acatic,Servicios Uribe S.A. de C.V.,,7163345.64,8977668.9,10693849.21,7562913.18
Ameca,Comercializadora Rivera S.A. de C.V.,4672147.11,6066459.8,398462.57,1127573.5,
Tototlan,Empresa Reyes S.R.L. de C.V.,9066725.21,13635243.84,,2125172.82,
El Limon,Servicios Ramos S.R.L. de C.V.,14185786.89,7715529.1,6979366.12,7579923.27,10886384.1
Villa Guerrero,Corporativo Gomez S.R.L. de C.V.,14585332.61,13678907.72,7189374.17,7545700.87,12678589.25
Etzatlan,Empresa Ybarra S. de R.L.,6228910.11,,,3891164.47,7037072.8
Tonala,Servicios Lopez S.C.,9038575.34,11221970.38,7989791.85,920994.88,12262692.54
San Cristobal de la Barranca,Grupo Rivera S.C.,8137670.9,,1917919.91,901774.2,14775275.7
Jilotlan de los Dolores,Corporativo Nunez S.R.L. de C.V.,4570890.0,,955447.05,7716111.55,3703418.82
Autlan de Navarro,Servicios Gutierrez S.A. de C.V.,5161084.75,13233523.39,,9537045.44,
Canadas de Obregon,Empresa Torres,4445079.1,6160687.43,592215.79,2103241.25,
Tala,Inversiones Cruz,12119063.28,9884152.94,10033114.74,3150993.74,7171983.81
Atemajac de Brizuela,Servicios Torres S.A.,7993402.24,6950186.8,211312.74,2202796.14,
Degollado,Industrias Diaz S.C.,7282162.95,14443371.09,10042893.82,299539.74,482528.14
La Manzanilla de la Paz,Grupo Reyes S.C.,2593523.18,3508055.21,10135500.34,14083106.27,3892586.13
Jamay,Soluciones Pena S.R.L. de C.V.,5446870.99,14866639.74,12177778.46,12284086.0,10524711.21
Lagos de Moreno,Servicios Zepeda S.R.L. de C.V.,12114841.43,3970372.64,2154433.53,7971117.06,14104367.56
Acatic,Grupo Lara S.C.,4287864.09,12607975.43,8468847.5,12254593.7,8700123.91
Tizapan el Alto,Comercializadora Gutierrez,1848378.75,1894467.16,10401128.65,3880249.3,9197658.6
Tlajomulco de Zuniga,Comercializadora Hernandez S. de R.L.,,5578151.03,3993322.37,4880976.57,1728872.53
El Grullo,Empresa Aguilar,6402293.29,1080288.15,8126161.76,5966741.58,
Puerto Vallarta,Grupo Morales S.C.,,6748034.96,444889.94,6215982.65,8924826.14
Mazamitla,Grupo Lara S. de R.L.,,8080240.53,9930629.59,9065491.64,14797126.85
San Cristobal de la Barranca,Soluciones Fuentes S. de R.L.,10418663.22,8348282.78,131713.08,,12031135.91
San Martin Hidalgo,Grupo Vega S.A.,1816181.61,10415297.45,8969357.36,13150811.2,
La Barca,Soluciones Mendoza S.C.,9324181.87,6832877.77,13996586.29,1026652.78,2364877.66
Tuxcacuesco,Industrias Valdez S. de R.L.,2417984.94,4106018.37,13233492.96,5506455.52,5781103.24
Tecolotlan,Soluciones Reyes,10059909.01,13576289.22,12305458.84,,6613191.62
San Miguel el Alto,Grupo Flores S.R.L. de C.V.,12572907.45,8911499.55,7604235.68,9204332.28,111012.42
Ameca,Constructora Quintero S. de R.L.,4493831.43,9880822.52,7469027.5,2643691.63,
Ixtlahuacan de los Membrillos,Servicios Reyes,6409698.21,14465766.29,,924599.31,10547947.81
Tecolotlan,Comercializadora Pena S.C.,13245586.44,7825036.25,8122343.22,5185515.85,14938016.84
San Martin Hidalgo,Servicios Flores S.C.,5791194.02,10027504.55,11403457.96,,3460284.37
Tizapan el Alto,Comercializadora Gomez S. de R.L.,2557761.53,7068696.58,4687184.71,8915572.92,1839503.43
Tecalitlan,Industrias Ybarra S.A.,,14532129.54,6760543.34,4165991.54,12804725.86
Techaluta de Montenegro,Corporativo Uribe S.C.,7725373.94,13979083.88,14157278.99,8301148.83,8872977.32
Tonala,Servicios Quintero S. de R.L.,11019269.6,,1865577.14,,13624124.75
Toliman,Comercializadora Gomez S.C.,1673494.92,1136568.46,3639291.33,3083287.18,13934602.71
San Martin de Bolanos,Comercializadora Reyes S.A.,11529406.85,5050278.79,,14426742.24,1207849.67
Cocula,Constructora Morales S.C.,9059003.6,7855563.06,5384505.21,2235211.84,12433433.04
Unión de San Antonio,Empresa Pena S.C.,,13172739.62,3307277.1,9443174.1,3855170.97
Tecolotlan,Soluciones Rivera S.A. de C.V.,3265402.82,5240696.7,,3062446.27,13730761.54
San Gabriel,Inversiones Lopez S.A. de C.V.,,6310138.32,7019565.79,6679858.66,3426071.05
Autlan de Navarro,Empresa Rivera,4167790.09,2715476.4,2097867.2,,13040729.77
Tonaya,Empresa Gutierrez S.A. de C.V.,9663395.65,10478370.46,,,507728.05
Tonaya,Industrias Delgado S.A.,11197298.8,10381959.67,3499106.92,6293734.29,14055439.49
Magdalena,Soluciones Mendoza S.R.L. de C.V.,14961126.6,10862398.8,8077173.62,11122007.17,7405064.41
Jamay,Comercializadora Cervantes S.A.,12255137.18,2690036.24,12305705.51,372080.71,1570419.24
Tequila,Empresa Torres S.A. de C.V.,2901571.05,14615397.45,14917469.67,1577964.29,5932809.1
Hostotipaquillo,Comercializadora Mendoza S.A. de C.V.,996637.14,11605890.77,13310265.0,8442046.22,10278431.81
Tlaquepaque,Grupo Vega S.A.,5966246.6,860636.79,13707809.59,10866604.86,8341073.28
Zacoalco de Torres,Constructora Quintero,10313713.5,13790511.87,4407650.15,6850440.59,1269613.03
Chapala,Servicios Zepeda,12301351.55,8460405.32,2799717.8,13458724.47,2583454.38
Ixtlahuacan del Rio,Grupo Montes S. de R.L.,13929916.04,2313863.81,12536001.6,9701110.55,14210357.97
Huejuquilla el Alto,Distribuidora Castillo S.R.L. de C.V.,11457535.25,895588.81,10647351.79,2105858.11,535450.3
San Miguel el Alto,Constructora Medina S.A. de C.V.,9872405.44,10886994.3,6581449.23,7682758.45,6022574.66
Tecalitlan,Empresa Ortega S.R.L. de C.V.,972472.79,6090562.1,12686290.46,2226539.91,6601111.91
Cabo Corrientes,Inversiones Castillo S.A. de C.V.,6342761.4,8323295.33,2518944.51,10779229.36,11897565.77
La Huerta,Grupo Pena S.R.L. de C.V.,10667421.16,5267172.39,,9526484.56,9657353.99
San Martin de Bolanos,Empresa Rios S.A. de C.V.,11279979.77,12874493.36,12689564.79,5240228.58,12046924.36
Tonala,Comercializadora Soto S.A.,12278319.15,7088862.99,10313002.93,13604316.6,9869612.68
Ayutla,Soluciones Diaz,12996169.34,2872207.08,,1841028.37,11449219.06
Puerto Vallarta,Soluciones Quintero S.R.L. de C.V.,7752249.72,11244098.99,9288891.26,4915251.82,14857624.29
Guadalajara,Industrias Delgado S.R.L. de C.V.,13067557.93,1883283.06,13183975.51,8366870.48,7557801.4
Lagos de Moreno,Soluciones Ramos S.R.L. de C.V.,1413875.97,7460221.97,6866364.73,13522695.95,11138200.8
Tonala,Inversiones Aguilar S.C.,6005354.11,13635956.59,,955445.75,8178210.75
Villa Hidalgo,Grupo Ochoa S.C.,4890925.31,10380984.34,14888715.65,4268649.37,7153932.21
Atemajac de Brizuela,Industrias Rios S.C.,2506578.17,10605784.83,8434381.74,,2325701.47
Tapalpa,Comercializadora Cruz S.A.,3207520.05,10059308.47,6954329.04,1535783.88,715373.76
Ciudad Guzman,Soluciones Montes S.A. de C.V.,9599788.02,9969924.63,5726667.93,7955260.77,12728003.19
Mezquitic,Corporativo Pena,10460154.52,1217560.99,3329040.0,967631.17,13782992.01
Tuxcacuesco,Grupo Uribe S.A. de C.V.,6942016.33,6750661.02,6591058.89,76258.54,4478866.72
Tala,Constructora Ibarra S.A.,6351312.47,3118035.32,9233344.79,7088187.88,569401.64
Tototlan,Comercializadora Ochoa,11926526.05,,1070833.98,8149129.27,
Tecolotlan,Constructora Delgado S. de R.L.,6826224.22,5409464.69,2203776.46,,3573061.44
Villa Hidalgo,Inversiones Perez S. de R.L.,,,6605645.7,4857521.62,
Tamazula de Gordiano,Corporativo Perez S.A.,5897420.61,4850641.89,,8079999.89,11481126.76
Villa Purificacion,Inversiones Sandoval S.A. de C.V.,13802326.25,4329578.68,1462628.56,813031.81,10652368.78
Huejucar,Industrias Fuentes,14733542.92,2094858.8,8841549.62,760189.6,6291479.01
San Cristobal de la Barranca,Corporativo Rios S. de R.L.,12847927.81,13135119.4,1420803.4,4377247.02,11368699.96
Etzatlan,Comercializadora Castillo S.A. de C.V.,6352054.38,11591426.95,3857143.72,1586284.05,6753667.74
Ixtlahuacan de los Membrillos,Industrias Aguilar S.C.,13375894.62,3662723.07,14278912.0,7486224.51,12330636.46
El Salto,Soluciones Aguilar S.C.,8863440.03,,6171604.32,5379770.83,1037479.11
Tototlan,Industrias Sandoval S.A.,8057330.24,1155105.08,12933883.67,2039098.57,11197005.18
Valle de Guadalupe,Comercializadora Gutierrez S.R.L. de C.V.,,3818085.94,6817281.19,2713891.32,12593043.89
Tonaya,Distribuidora Ochoa S.C.,780982.19,13430313.52,10497904.7,6262561.87,2334353.24
Encarnacion de Diaz,Industrias Reyes S.R.L. de C.V.,,,5286738.42,5493546.29,10803201.36
Hostotipaquillo,Comercializadora Aguilar S.C.,12191156.57,1412679.54,10842273.22,2711790.81,12301546.54
Zapotlan del Rey,Constructora Jimenez S.A. de C.V.,1812295.24,7847294.33,1034005.05,11481916.07,2857151.8
Tototlan,Distribuidora Torres S.A. de C.V.,6137604.94,2751234.84,390905.85,12046918.34,5277675.94
Teocaltiche,Industrias Hernandez S.R.L. de C.V.,10517802.06,6835170.5,,10929039.67,13949521.17
Tototlan,Comercializadora Zepeda S. de R.L.,,551117.84,5019341.99,2741591.01,10062308.39
Magdalena,Corporativo Ochoa S.A.,,11939446.46,7297699.18,11132734.03,910099.77
Cabo Corrientes,Grupo Jimenez S.C.,3700859.22,14695522.14,9100044.85,2014938.31,14640796.66
La Huerta,Distribuidora Vargas S.R.L. de C.V.,,2833350.15,,6430830.55,5388985.1
San Miguel el Alto,Grupo Rios S. de R.L.,6743603.24,10134753.57,11878673.19,10820487.01,9150603.45
Cabo Corrientes,Grupo Rivera S.C.,11034585.79,10950195.3,,14363258.91,12148424.25
Canadas de Obregon,Corporativo Castillo S.R.L. de C.V.,13896003.58,8515536.93,,9904536.34,14397044.07
Autlan de Navarro,Distribuidora Cervantes S.A. de C.V.,2864146.65,6303254.66,6834155.57,1495393.2,8760766.31
Techaluta de Montenegro,Inversiones Torres S.C.,1269658.64,2778733.43,,4199057.4,3406906.13
Tepic,Inversiones Ybarra S.C.,4457084.98,7223018.4,11184909.11,12466985.86,14540219.3
Ciudad Guzman,Inversiones Montes S.C.,13038744.44,2643005.86,9373759.21,1394825.35,13257942.91
La Huerta,Inversiones Ochoa S. de R.L.,14621688.46,5053919.15,7289849.97,4948470.16,12136200.28
Chapala,Corporativo Tapia S.A.,7500041.5,3987541.42,2296840.18,,4713212.27
Huejucar,Corporativo Uribe S.A. de C.V.,3744127.24,13524739.11,3614618.84,,1138875.05
Techaluta de Montenegro,Industrias Aguilar S.C.,2097508.26,4222943.48,2748715.24,2379664.72,5880155.99
Tlajomulco de Zuniga,Comercializadora Zepeda S.A.,9157063.27,4580644.22,11418554.8,10787698.98,2005036.77
San Gabriel,Servicios Soto S.A.,,4172222.79,9991034.84,1703468.14,3310289.16
Tlaquepaque,Comercializadora Zepeda S.A.,2335009.41,6926804.44,4198656.13,13696258.54,6227318.36
Cocula,Grupo Jimenez S.A. de C.V.,3163072.83,7689232.88,2453336.31,10249011.33,
Tala,Distribuidora Mendoza S.C.,2693809.85,6380781.04,6809074.52,5658664.8,5341680.57
Tepic,Servicios Lara S. de R.L.,13253638.19,14291511.28,13288989.48,5818575.65,1280879.89
Zacoalco de Torres,Servicios Cruz S.A.,8967687.14,12657936.3,13236391.33,9807681.65,14690630.41
Zapotiltic,Empresa Gomez S.A. de C.V.,496923.71,14756595.46,1732779.28,10550567.28,2185154.72
Tepic,Industrias Tapia S.A. de C.V.,1521214.2,7013110.65,10162820.72,9799204.35,13179456.4
Unión de San Antonio,Comercializadora Perez S. de R.L.,11507686.79,9639571.74,2107547.68,,
San Juan de los Lagos,Grupo Valdez S.C.,,2809849.77,6582922.41,9239474.2,9589823.9
Jocotepec,Distribuidora Uribe S.A. de C.V.,,2368348.46,6991449.21,,993327.19
Santa Maria de los Angeles,Distribuidora Mendoza S.A. de C.V.,4237627.34,11191132.99,9058891.69,6115871.36,11758364.48
Ameca,Industrias Soto S.A. de C.V.,14555561.71,10094477.82,2998307.91,2149450.65,2927867.0
Villa Purificacion,Distribuidora Vargas S.A.,,7108642.56,3966327.02,1306175.45,9424511.13
Tizapan el Alto,Comercializadora Rivera,1869740.32,1982821.39,,13009623.8,6414686.04
San Juan de los Lagos,Empresa Gutierrez S.A.,,5364104.08,12986957.16,3121003.92,1286963.97
Cihuatlan,Comercializadora Gomez S. de R.L.,7168629.55,12953132.78,6742304.27,,10290530.46
Ojuelos de Jalisco,Servicios Perez S.C.,2904263.68,3410494.94,8863047.6,,6348507.56
Yahualica de Gonzalez Gallo,Industrias Reyes S.A. de C.V.,7826033.65,,2103109.31,1895113.64,4173371.9
Teocuitatlan de Corona,Inversiones Gutierrez S.R.L. de C.V.,,6325054.88,11053472.75,2811480.63,14330351.66
Ocotlan,Industrias Montes S.C.,2670940.61,2443073.01,731608.16,14653911.02,9937898.67
Jamay,Distribuidora Flores S.A. de C.V.,,13279189.99,7290959.56,4133658.34,8152858.23
Teocuitatlan de Corona,Empresa Perez S.A. de C.V.,9800664.83,11794813.2,7659179.03,14859465.26,10407407.95
Cabo Corrientes,Empresa Delgado S.A.,9407564.95,13588090.79,11366233.55,3426627.47,13754627.67
Tonaya,Comercializadora Morales S. de R.L.,1099758.17,9549011.85,12652700.37,9164476.13,12079362.44
San Martin Hidalgo,Comercializadora Vargas S.A.,7282226.92,6696272.05,1751621.2,3548508.66,3483676.89
Tototlan,Soluciones Ybarra S.A.,1252951.38,1359234.88,3109084.74,8095030.71,9428617.9
Huejucar,Grupo Flores S.A.,5841901.13,9848314.05,12307722.14,,11551070.21
Cabo Corrientes,Comercializadora Soto S.A. de C.V.,,,2551842.04,1891429.5,5603603.72
Etzatlan,Inversiones Ybarra S.C.,972110.24,,13618466.4,7427012.07,1307610.59
Villa Guerrero,Distribuidora Ramos S.A.,,12089214.88,14375451.28,11730501.91,8721408.96
Tonala,Grupo Ybarra S.A.,7916209.52,5483596.75,,358034.77,5942525.66
La Manzanilla de la Paz,Inversiones Soto S.R.L. de C.V.,7917188.12,3582679.95,11041657.72,12889821.66,13978805.25
Cihuatlan,Soluciones Flores S. de R.L.,3864556.23,10312729.68,11992633.52,10101514.78,8931719.21
Puerto Vallarta,Inversiones Cervantes S.C.,7269508.58,5936001.01,,11624328.59,5462257.83
Santa Maria de los Angeles,Grupo Cervantes S.C.,9283922.48,6296837.58,11761139.28,264240.17,
El Arenal,Inversiones Delgado S. de R.L.,11975190.88,8275056.92,7030668.6,12242717.45,1210440.72
Tala,Distribuidora Soto S.C.,10807090.35,14785104.46,,3981388.33,3371301.87
El Arenal,Grupo Rios S.R.L. de C.V.,9104948.52,,5349049.75,468706.73,52501.68
Villa Purificacion,Grupo Martinez S.C.,3932333.5,3618018.33,,10575707.48,6317705.49
Tlajomulco de Zuniga,Empresa Gutierrez S.C.,13994754.12,11684701.43,,8284038.64,13808481.66
Atemajac de Brizuela,Grupo Hernandez S.A. de C.V.,6581420.83,14334292.79,3590517.77,2104357.41,435177.38
Jesus Maria,Corporativo Sandoval S.R.L. de C.V.,3853893.29,3774295.71,4171226.57,4161477.93,6554208.99
